Geneid,Chr,Start,End,Strand,Length,T:1.5h-28C-1,T:1.5h-28C-2,T:1.5h-28C-3,T:3h-28C-1,T:3h-28C-2,T:3h-28C-3,T:9h-28C-1,T:9h-28C-2,T:9h-28C-3,C:1,C:2,C:3
gene:Solyc00g005000.3,SL3.0ch00;SL3.0ch00,16480;16879,16794;17940,+;+,1377,0,0,0,1,0,0,0,0,0,0,0,0
gene:Solyc00g005040.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,548344;549226;550857;551033;551217;551342,548703;549319;550944;551131;551249;551581,+;+;+;+;+;+,914,4,2,2,0,0,2,6,2,2,1,2,2
gene:Solyc00g005050.3,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,570548;571002;571284;574466;575209,570896;571207;571355;574571;575385,-;-;-;-;-,910,213,226,148,271,208,199,171,204,250,219,191,240
gene:Solyc00g005060.1,SL3.0ch00,723741,724013,-,273,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005080.2,SL3.0ch00,791488,791775,-,288,0,0,0,0,2,0,4,0,2,2,0,4
gene:Solyc00g005084.1,SL3.0ch00;SL3.0ch00,809593;813496,809643;813633,+;+,189,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005090.1,SL3.0ch00,1061632,1061916,-,285,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005092.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,1127794;1128226;1143919;1144351,1127832;1128321;1143970;1144385,+;+;+;+,222,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005094.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,1144958;1146448;1146637;1146879,1144992;1146547;1146667;1146952,-;-;-;-,240,0,0,0,0,0,0,0,0,0,0,0,0
gene:Solyc00g005096.1,SL3.0ch00;SL3.0ch00;SL3.0ch00;SL3.0ch00,1734562;1735560;1736045;1736543,1735354;1735975;1736355;1736567,+;+;+;+,1545,0,0,0,0,0,0,0,0,0,0,0,0
